So generally what I do with this data is look at the arc voltage within a certain range on both the X and Y axes. So like at first it would show me everything, but it would be nice to then select a range for Y (like from -140v to -100v) and a range for X (from time = 1sec to time = 100sec) and have it "zoom" in on that data
and then it would also be nice to be able to cycle through the different columns to show the data. I might want to just isolate the voltage, the Y value, the z value, etc. I also might want to show all three corrected data points on one chart (Corrected Z, Corrected Y, and Corrected X)Also - the Time column will be the X axis. I didn't say that, but technically that's the case. I'm ok if it was just a scatter plot though and we just treated each sample as 1,2,3,4 in X. That way we could also plot the time to make sure we don't have anomalies in the sampling rate
 
In that last case, I think we are storing the total accumulated time. It would be cool to show it as-is which would be a ramp, but it would also be nice to get the delta/difference between points
 
BeginHeader
TrackingEnabled,False
TargetVoltage,-120.0
GainZ,0.020
GainY,0.100
EndHeader

Time,Voltage,Current X,Current Y,Current Z,Corrected X,Corrected Y,Corrected Z
0.150,-120.0,-0.00,6408.28,-0.02,0.00,0.00,0.00
0.155,-120.0,-0.00,6408.24,-0.02,0.00,0.00,0.00
0.160,-120.0,-0.00,6408.15,-0.01,0.00,0.00,0.00
0.165,-120.0,-0.00,6408.10,-0.01,0.00,0.00,0.00
0.170,-120.0,-0.00,6408.06,-0.01,0.00,0.00,0.00
0.175,-120.0,-0.00,6408.01,-0.01,0.00,0.00,0.00
0.180,-120.0,-0.00,6407.90,-0.00,0.00,0.00,0.00
0.185,-120.0,-0.00,6407.85,-0.00,0.00,0.00,0.00
0.190,-120.0,-0.00,6407.79,-0.00,0.00,0.00,0.00
0.195,-120.0,-0.00,6407.73,-0.00,0.00,0.00,0.00
0.200,-120.0,-0.00,6407.61,-0.00,0.00,0.00,0.00
0.205,-120.0,-0.00,6407.54,-0.00,0.00,0.00,0.00
0.210,-120.0,-0.00,6407.48,-0.01,0.00,0.00,0.00
0.215,-120.0,-0.00,6407.41,-0.01,0.00,0.00,0.00
0.220,-120.0,-0.00,6407.28,-0.01,0.00,0.00,0.00
0.225,-120.0,-0.00,6407.22,-0.01,0.00,0.00,0.00
0.230,-120.0,-0.00,6407.15,-0.01,0.00,0.00,0.00
0.235,-120.0,-0.00,6407.09,-0.00,0.00,0.00,0.00
0.240,-120.0,-0.00,6406.95,-0.00,0.00,0.00,0.00
0.245,-120.0,-0.00,6406.88,-0.00,0.00,0.00,0.00
0.250,-120.0,-0.00,6406.82,-0.00,0.00,0.00,0.00
0.255,-120.0,-0.00,6406.75,0.00,0.00,0.00,0.00
0.260,-120.0,0.00,6406.61,0.00,0.00,0.00,0.00
0.265,-120.0,-0.00,6406.54,0.00,0.00,0.00,0.00
0.270,-120.0,-0.00,6406.47,0.00,0.00,0.00,0.00
0.275,-120.0,-0.00,6406.40,-0.00,0.00,0.00,0.00
0.280,-120.0,0.00,6406.26,0.00,0.00,0.00,0.00
0.285,-120.0,0.00,6406.19,0.00,0.00,0.00,0.00
0.290,-120.0,0.00,6406.13,0.00,0.00,0.00,0.00
0.295,-120.0,0.00,6406.06,0.00,0.00,0.00,0.00
0.300,-120.0,0.00,6405.93,0.01,0.00,0.00,0.00
0.305,-120.0,0.00,6405.86,0.01,0.00,0.00,0.00
0.310,-120.0,0.00,6405.80,0.01,0.00,0.00,0.00
0.315,-120.0,0.00,6405.73,0.00,0.00,0.00,0.00
0.320,-120.0,0.00,6405.60,0.00,0.00,0.00,0.00
0.325,-120.0,0.00,6405.54,0.00,0.00,0.00,0.00
0.330,-120.0,0.00,6405.48,0.00,0.00,0.00,0.00
0.335,-120.0,0.00,6405.42,0.00,0.00,0.00,0.00
0.340,-120.0,0.00,6405.29,0.00,0.00,0.00,0.00
0.345,-120.0,0.00,6405.23,0.00,0.00,0.00,0.00
0.350,-120.0,-0.00,6405.17,0.00,0.00,0.00,0.00
0.355,-120.0,-0.00,6405.11,0.00,0.00,0.00,0.00
0.360,-120.0,0.00,6405.00,0.00,0.00,0.00,0.00
0.365,-120.0,0.00,6404.94,0.00,0.00,0.00,0.00
0.370,-120.0,0.00,6404.88,0.00,0.00,0.00,0.00
0.375,-120.0,0.00,6404.82,0.00,0.00,0.00,0.00
0.380,-120.0,0.00,6404.71,0.00,0.00,0.00,0.00
0.385,-120.0,0.00,6404.65,0.00,0.00,0.00,0.00
0.390,-120.0,0.00,6404.59,0.00,0.00,0.00,0.00
0.395,-120.0,0.00,6404.54,0.00,0.00,0.00,0.00
0.400,-120.0,0.00,6404.43,0.00,0.00,0.00,0.00
0.405,-120.0,0.00,6404.37,0.00,0.00,0.00,0.00
0.410,-120.0,0.00,6404.32,0.00,0.00,0.00,0.00
0.415,-120.0,0.00,6404.27,0.00,0.00,0.00,0.00
0.420,-120.0,0.00,6404.16,0.00,0.00,0.00,0.00
0.425,-120.0,0.00,6404.11,0.00,0.00,0.00,0.00
0.430,-120.0,0.00,6404.06,0.00,0.00,0.00,0.00
0.435,-120.0,0.00,6404.00,0.00,0.00,0.00,0.00
0.440,-120.0,0.00,6403.91,0.00,0.00,0.00,0.00
0.445,-120.0,0.00,6403.86,0.00,0.00,0.00,0.00
0.450,-120.0,0.00,6403.81,0.00,0.00,0.00,0.00
0.455,-120.0,0.00,6403.76,0.00,0.00,0.00,0.00
0.460,-120.0,0.00,6403.67,0.00,0.00,0.00,0.00
